rating,reviews_index,reviews_topic
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Hidden valey is a beautiful place with a short trail that anyone can walk through. There are some joshua trees but not só many but the Stones around the valley are unique. Be prepare with some Waterloo with you.,Curious place
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",We might have a future rock climber on our hands! Our preschooler loved scrambling up and down the rocks at Hidden Valley. He also had a blast imagining what rocks looked like - named one the Dinosaur Rock (it really looked like a triceratops lying...,Great boulders easy for the kids to climb
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","This is one of the top attractions, a fairly easy walk into a valley that has changed due to cattle rustling. Lots of parking, good place for a picnic, shady spots make it a good option for mid-day visit. Keep going counter clockwise and you...","Historical Significance, a Must See on the List"
"ui_bubble_rating bubble_45,book_text,and_up",,
ui_bubble_rating bubble_45,,
ui_bubble_rating bubble_45,,
"ui_bubble_rating bubble_30,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Maybe I'm spoiled but I don't understand those so many rave reviews. It was good walk but not spectacular as mentioned. I'm a lazy guy during vacation but I took this hike due to high ratings. Again, it was good but not great. It's the...",Over-rated
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Beautiful 70 degree day. The path winds gently upwards through large rock formations until you reach a surprising view of this valley. So quiet. We saw chipmunks and small lizards. Informative small signs provide information about the valley, flora and fauna. Just the right length...",Perfect Short Hike
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",We stopped at the visitor center to pick up a map and the guide recommended this hike. Great introduction to the park and you really get a feel for the landscape and size of the park. Do bring lots of water and snacks though.,Great introduction to the park
"ui_bubble_rating bubble_45,book_text,and_up",,
ui_bubble_rating bubble_45,,
ui_bubble_rating bubble_45,,
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","There are a ton of stunning rock formations (piles) here to both boulder, sportclimb, and scramble about on. It's a great area, very popular with all sorts of visitors. Great place for photos and because you can hike around everything and not have to climb...","Beautiful, Popular Climbing Area"
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","My girls are in their 20's, but when we hiked here they were all over the place! One has to climb every rock while the other loves a secluded spot to sunbathe. Both had a great time here. This is a hugely popular trail of...",Keep an eye on your kids!
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Hidden Valley trail is a great beginners trail that is a must for first time Joshua tree visitors. There is optional rock scrambling throughout the trail and plenty of beautiful scenery to take in. The parking was packed when we went so you may want...,Great introduction and amazing hike!
"ui_bubble_rating bubble_40,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","In the afternoons when most people have arrived, this place gets insanely crowded and even parking a distance away can be impossible. We planned out trip to get here by 8am and were rewarded with a completely empty valley to hike and explore. Incredible rock...",Wonderful hike for everyone but lots of people
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Hidden Valley is the most popular hike site for the park. Even though it's less than a mile, it took us quite sometime to get through it. We were taking photos, walking off the path, and climbing on rocks! My girls enjoyed it, and my...",A good hike for family
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","This is an amazing place and also extremely popular. There is a large car park with bathrooms. The walk is fairly easy entering through a rock pass into the valley, which is totally enclosed by rock formations. The formations themselves are worth the walk. This...",Spectacular Spot
"ui_bubble_rating bubble_45,book_text,and_up",,
"ui_bubble_rating bubble_45,book_text,and_up",,
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","This place is the one we have continued talking about after we left. TripAdvisor doesn't lie-- it's #1. The scenery all over JTNP is unique, but the ambiance in this valley was truly unique. I loved the history (cattle?!), the fun rocks to climb around...",Highlight of Joshua Tree NP
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","We really loved out stay at the Hidden valley campground.
Our family of 5 really enjoyed the scenery and the many rock formations to scramble.
Our campsite even had a cave - how cool is that!! It was nice relief on the really hot days...",Loved it!!
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Did a day trip to Joshua tree and this was one of our stops. Really worth hiking/strolling through this valley. Spectacular scenery!,Easy walk with a big reward
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","This is a paradise for nature lovers. Watching the sunset across these rock formations, and the landscape gives an outer-world feeling. The desert fauna and flora give a good geological lesson.",Amazing Sunset
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","In my opinion, this is a not to be missed site in Joshua Tree National Park. The rock formations, landscapes, and Joshua trees are a nature lover's and a photographer's paradise. There is ample parking, picnic tables and restroom facilities at the entrance to the...",Spectacular site with easy walking trails
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Ventured out to Joshua Tree while staying in Palm Springs as I'd heard about it and seen it in movies and tv shows over the years.
What a beautiful part of the world. Towering rock structures set among a desert flora and fauna backdrop -...",Awesome place! Never been anywhere like it.
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","We, like many, loved Hidden Valley campground even more than Indian Cove, but I would stay at both, if possible. From Indian Cove we loved the Boy Scout Trail (we did four miles out and four miles back), Rattlesnake Canyon (trailhead at the campground), and...","Close to trailheads, bouldering, and sunset vistas."
"ui_bubble_rating bubble_40,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","A warm and enjoyable day in April, I visited Joshua Tree National Park and the Hidden Valley. It's a fantastic piece of nature. It had rained earlier in the spring so the guard at the entrance recommended that I visit Barker Dam and Hidden Valley...","Amazing rocks, a nice trail."
"ui_bubble_rating bubble_45,book_text,and_up",,
ui_bubble_rating bubble_45,,
ui_bubble_rating bubble_45,,
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Excellent trails and great opportunities for photography. great knowing that it was used to round up cattle into the ""coral""",Walking trail
"ui_bubble_rating bubble_40,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","I thought that Hidden Valley would have a nice easy walking trail but it is really just a campsite. A good, clean, campsite with toilets that looked like it is protected from the wind and has afternoon shade. But, it is not a hiking destination,...",protected campsites
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Totally kid friendly hike. No problem for my 3 yr old and baby in a backpack! Great first stop. Lots of rocks for climbing. Nice views,Kid friendly hike
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","We visited the park at the end of August, it was very hot. We had this short tour, which was completely enough to get the ""feeling"", but wasn't overwhelming (~1 mile). Definitely worth it, but you have to bring a good bottle of water!",Good short walk
"ui_bubble_rating bubble_40,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","The boulder in and around Joshua Tree are quite extraordinary and worth a little hike to get in amongst them. Several walks around, so no matter your fitness you'll find something to suit. A very enjoyable few hours touring and walking in the area",Stunning boulder formations and well worth checking out
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","This is a very nice and easy to walk trail that gives you a good impression of many of the type of sites you will see in the park, from high desert flora, to giant boulder mountains that look like a giant just piled up...",A great way to kick off your Joshua Tree national park visit
"ui_bubble_rating bubble_40,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","This is about a 1 mile circular walk through a small valley showing off lots of the spectacular things that the Joshua Tree Park has to offer.
Great views of the piles of massive boulders. Great close up to trees and shrubs.
Worth it if...",A lovely short walk showing Park off well
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Visited on a really hot day in early August but it was still worth the effort. It's hard to believe that before the entrance way was blasted through the rock many years ago this place was completely inaccessible. My kids enjoyed clambering on the rocks...,Great easy hike.
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","mesmerizing hikes, very surrealistic view. we were staying on the campground and had an amazing experience",beautiful valley
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",This is a great experience with little effort. The hidden valley is really hidden. Great views - the hike is about 1 hour on same level.,Great short hike
"ui_bubble_rating bubble_40,ratingDate relativeDate,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","This is really hidden valley,as you can see much while you are at parking area,and best part is its easy and quick loop trail,which can be finished very fast.
And you get to experience few great Rocks which you can climbs and have fun.",Easy and quick....
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","This is one of the busiest places of the park, and one of the most scenic hikes. We went in the afternoon, walked in the shadows of some of the boulders, watched the rock climbers moving up and down the sides of the boulders, and...",Best Hike in Joshua Tree National Park
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","This circular hike is one of the easiest hikes imaginable, yet it is full of gorgeous views and many informative signs. The boulders framing the Hidden Valley are fantastic! Hidden Valley is located near the West entrance of Joshua Tree National Parl.",A short and easy but very beautiful hike
"ui_bubble_rating bubble_40,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","My friend and I recently drove to Joshua Tree National Park from San Diego earlier this month. We went on this easy 1-mile loop trail that has lots of Joshua Trees, Cacti and unique rock formations at every turn. You can see rock climbers throughout...",Nice easy hike!
"ui_bubble_rating bubble_45,book_text,and_up",,
ui_bubble_rating bubble_45,,
ui_bubble_rating bubble_45,,
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",We walked the loop when visiting Joshua Tree NP in early November. This was an easy walk full of beautiful formations created by our mother nature. Really amazing and must do when in JTNP.,Hidden Valley - Amazing Hike
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Absolutely serene valley with a mellow hike. Keep an eye on the trail as there's lots of ways to get tripped up if you don't watch your step!,Beautiful hike
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","This was my favorite spot in the park, its a fairly easy hike that will reward you with some unique rocks and gorgeous views. Definitely a ""don't miss"" trail!",My favorite hike!
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Nice place to hike, you can rock climb also. The hike was easy and the weather was perfect when we went last Saturday. It would be better if we went around sunset. Anyway, bring plenty of water.",Beautiful rock formation.
"ui_bubble_rating bubble_45,book_text,and_up",,
ui_bubble_rating bubble_45,,
ui_bubble_rating bubble_45,,
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","A short 0.1 or 0.2 mile walk through some rocks takes you to this beautiful hidden spot. The nature trail is informative. It is supposed to be one mile, but it felt a lot longer. It was somewhat difficult to follow the trail at times....","Excellent attraction, must see, but the nature hike is a bit challenging"
"ui_bubble_rating bubble_40,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","it is a strategic base for ppl that want to explore key view. jumbo rock, skull rock. the trail is pretty easy. good for family n kids too. it is centrally located to many sites. and the campground is pretty big.",hidden valley trail n campground
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","If you love outdoors activities you must go to the Joshua tree national park, it is a 2 hours ride from L.A, the entrance costs 15 USD per vehicle. Take your time to walk around, there are beautiful places that aren't close to the road.",A must go!
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","We came to the States in the main to tour some of the desert regions..... and the Joshuah Tree was our favourite area.
This relativeley short hike was superb - gorgeous rugged scenery - stark rockfaces and easy underfoot. Not a long walk by any...",One of the highlights of our trip to the States....
"ui_bubble_rating bubble_45,book_text,and_up",,
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","We loved hiking this trail. Lots and lots of great picture opportunities. It's not a strenuous hike. There are lots of rock formations,Joshua trees and Vistas to see.
One downfall was the trail wasn't always marked well.",Great trail
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Go for a 2h hike around the valley and wake your inner child. Go on rocks and conquer higher viewpoints. Remember though about hot weather and watch your step ;),Best trail in the Joshua Tree park
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",While the Hidden Valley trail can get quite crowded (including the adjacent parking lot) it's definitely worth visiting. While the 1 mile loop is a relatively easy walk it does have some stairs and small rocks which would make it challenging for those with mobility...,An easy walk with fabulous rock formations
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","This is a great little loop. It has some info about the flora & fauna of the park itself, and the history of the park. This hike gives you a nice cross section of what the park has to offer - it has unique rock...","Nice trail, easy hike"
"ui_bubble_rating bubble_40,ratingDate relativeDate,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",This hike gives you a complete overview of what Joshua Tree NP is all about. Not difficult and very scenic. This hike and area can be busy due to its popularity. Take your camera and water bottle and you will be set.,The Definition of JTNP in one Spot
"ui_bubble_rating bubble_40,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Took a short hike for about three hours with good views and lots to see. Signage was weak for the different paths but enough to get you to and from. No facilities on hike, so be prepared if you bring along any beverages.",Wonderful hike in the mountains
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Such a picturesque spot! Although we went in Dec it was still warm and we needed to take water. They do warn you of this at the visitors centre and in summer it would be crucial. It is an easy walk and very picturesque with...,Enjoy the valley with water and a picnic
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Great little oasis in JT. Scenic. Nice little walk. Good for a ~1 hour stop. Great rock climbing. Beautiful. Don't leave it out.,Favorite spot in JTNP
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","We visited Hidden Valley on a day trip to Joshua Tree National Park. There is a campground and a picnic area.
We also took a hike. There is both a paved road to get there; we also drove one of the dirt roads to Hidden...","Nice Hiking Area; Also Nice for Picnics and Camping - Hidden Valley, Joshua Tree National Park"
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Gentle 1 mile circular walk with great views of the mountains. Nice preamble to Ryan Mountain! Well signposted route and definitely for the tourist.,KW - trek
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","If you only do one hike, this is the one to do. This one mile hike is suitable for almost anyone especially families. It is an easy walk along a sandy path, but do expect some steps. You will wander around some huge boulders, yuccas,...",Enchanting Hike
"ui_bubble_rating bubble_40,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Beautiful rock formations and scrubland, lovely walks and scenery, picnic area in the shade, visited by a blue bird and a ground rat! Very pleasant",Fascinating
"ui_bubble_rating bubble_40,ratingDate relativeDate,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Everything in this nation park is worth looking at, we spent the day causing along and enjoying the atmosphere and taking in all of the rock formations and other scenery.",Fun short hike
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Hidden Valley is a must go destination for this time of year. The desert flowers just start blooming and the view is spectacular. Temperatures in the beginning of March are mild and extreme comfortable for hiking. Bring a lot of water because is very dry...,Amazing views
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",The hidden Valley is a great place for a little hike. The rocks just look amazing and the joshua trees give the place a special feeling. It felt great just to discover the little and the big rocks and to climb a bit on them....,Nice and short hike
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","This was one of our several stops in Joshua to photograph the rocks. It may be Joshua Tree National Park, but the rocks are as much, if not more, interesting.",Not Too Hidden
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","I've been to Joshua Tree many times and I always include a Hidden Valley hike! It's one the easiest little turn offs in the desert and it's a kind of make-you-own-adventure hike that I really like!
After entering the park it's one of the first...","Fun, easy and beautiful hike!"
"ui_bubble_rating bubble_40,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Wanted to do one hike with the kids and this one was about the right length. Beautiful scenery. Groomed trail that has built in steps for everyone,Great little hike for kids!
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",What a grand adventure it was experiencing the unique landscape just outside Palm Springs. Amazing to see it is preserved and protected by our national park system. Can't wait to explore more areas on my next visit,Grand adventure
"ui_bubble_rating bubble_45,book_text,and_up",,
ui_bubble_rating bubble_45,,
ui_bubble_rating bubble_45,,
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","There are some beautiful walks here from the campground. These include those to Barker Dam and the Petroglyph wall nearby.
Enjoy",Beautiful Valley
"ui_bubble_rating bubble_40,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",The Hidden Valley is easy to find and is well sign posted. Entrance to the park was $20 for a car but this lasts a week. The visitor centre before the park entrance had more information. There was plenty of parking at the Hidden Valley...,Great place for a walk with wonderful scenery
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Short walk about a mile or so or 30 min through the best landscape
Highly recommend doing it early in the morning as it gets warm and take loads of water",Great walk
"ui_bubble_rating bubble_40,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Great short walk, easy, with beautiful vistas, lots of Joshua trees. Not my favorite location in JT but still very good and recommended.",Great short walk in JTNP
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",If you want to see the desert while in California this is a great place. It is a very open and rural area. Bring water because it tends to be hot.,Joshua Tree
"ui_bubble_rating bubble_45,book_text,and_up",,
"ui_bubble_rating bubble_45,book_text,and_up",,
"ui_bubble_rating bubble_45,book_text,and_up",,
"ui_bubble_rating bubble_45,book_text,and_up",,
"ui_bubble_rating bubble_45,book_text,and_up",,
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Hidden valley was a great place to hike and see all the plants and rocks. Make sure you get there early because it gets really hot. Luckily for us it was 85 degrees but it was still hot. There were bees that kept swarming us...,Hidden Valley was Great
"ui_bubble_rating bubble_45,book_text,and_up",,
ui_bubble_rating bubble_45,,
ui_bubble_rating bubble_45,,
"ui_bubble_rating bubble_40,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",It's another walk in the high desert around rocks. May be repetitive to some but there's always something interesting to see (keep an eye out for critters).,Another walk around the rocks
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","We have visited many of the National Parks in surrounding states, but there's something really relaxing about Joshua Tree NP, expressed beautifully by this short family-friendly hike. We visited fairly early in the day, and there were very few other visitors on the trail. It...",Delightful!
